內部代號,印刷編號,說明
舟-120,1-57、1-58,已併入「墨西哥拖鞋蘭」
舟-121,1-160,
舟-122,1-162,
舟-123,1-163,
舟-124,1-76,
舟-126,1-168,
舟-128,1-172,
舟-129,1-179,
舟-13,1-148,
舟-130,1-84,
舟-131,1-96,
舟-132,1-98,
舟-133,1-107,
舟-134,1-220,
舟-135,1-222,
舟-137,1-121,
舟-138,1-228,已併入「銀葉魔芋」
舟-139,1-228,
舟-14,1-152,
舟-140,1-133,
舟-141,1-241,
舟-143,1-45,
舟-144,1-55,
舟-145,1-60、1-158,
舟-146,1-65,
舟-147,1-70,
舟-148,1-72,
舟-149,1-77,
舟-15,1-155,
舟-150,1-78,
舟-151,1-83,
舟-152,1-86,
舟-153,1-87,
舟-154,1-192,
舟-155,1-111,
舟-156,1-206,
舟-157,1-210,
舟-158,1-117,
舟-159,1-124,
舟-16,1-156,
舟-160,1-129,
舟-161,1-237,
舟-162,1-239,
舟-163,1-134,
舟-164,1-135,
舟-165,1-151,
舟-166,1-170,
舟-167,1-181,
舟-168,1-94,
舟-169,1-102,
舟-17,1-161,
舟-170,1-153,
舟-171,1-104,
舟-172,1-209,
舟-173,1-212,
舟-174,1-214,
舟-175,1-49,
舟-176,1-50,
舟-177,1-56,
舟-178,1-60、1-158,已併入「大腳筒蘭」
舟-179,1-61,
舟-18,1-75,
舟-180,1-66,
舟-181,1-73,
舟-182,1-167,
舟-183,1-175,
舟-184,1-81,
舟-185,1-101,
舟-186,1-112,
舟-187,1-205,
舟-188,,
舟-189,1-218,
舟-19,1-171,
舟-191,1-243,
舟-193,1-100,
舟-194,1-199,
舟-195,1-235,
舟-20,1-173,
舟-21,1-79,
舟-22,1-85,
舟-23,1-99,
舟-24,1-114,
舟-25,1-208,
舟-26,1-211,
舟-27,2-215,
舟-28,1-238,
舟-29,1-136,
舟-30,1-138,
舟-31,1-52,
舟-32,1-154,
舟-33,1-64,
舟-34,1-67,
舟-35,1-69,
舟-36,1-74,
舟-37,1-183,
舟-38,1-103,
舟-39,1-110,
舟-40,1-203,
舟-41,1-259、2-209、4-331,
舟-42,1-126,
舟-43,1-127,
舟-44,4-312,
舟-45,1-137,
舟-46,1-146,
舟-47,1-62,
舟-48,1-63,
舟-49,1-68,
舟-50,1-362,
舟-52,1-178,
舟-53,3-297,
舟-54,1-88,
舟-55,1-187,
舟-56,1-188,
舟-57,1-189,
舟-58,1-90,
舟-59,1-193,
舟-60,1-194,
舟-61,1-95,
舟-62,1-100,已併入「秋海棠」
舟-63,1-197,
舟-64,1-200,
舟-65,1-202,
舟-66,1-217,
舟-67,3-338,
舟-68,,
舟-69,1-130,
舟-70,1-51,
舟-71,1-149,
舟-72,1-150,
舟-73,1-53,
舟-74,1-54,
舟-75,1-159,
舟-76,1-165,
舟-77,2-19,
舟-78,1-166,
舟-79,1-174,
舟-80,1-80,
舟-81,1-185,
舟-82,1-92,
舟-83,1-105,
舟-84,1-106,
舟-85,1-215,
舟-86,1-119,
舟-87,1-219,
舟-88,1-227,
舟-89,1-122,
舟-90,1-125,
舟-91,1-131,
舟-92,1-240,
舟-93,1-242,
舟-94,1-143,
舟-95,1-47,
舟-96,1-59,
舟-97,1-71,
舟-98,1-164,
舟-99,1-184,
舟右-01,1-250,
舟右-02,1-363,
舟右-03,1-157,
舟右-04,1-342,
舟右-05,1-296,
舟右-06,1-186,
舟右-07,1-314,
舟右-08,1-299,
舟右-09,1-356,
舟右-10,1-348,
舟右-11,1-230,
舟右-12,1-233,
舟右-13,1-313,
舟右-14,1-300,
舟右-15,1-331,
舟右-16,1-377,
舟右-17,1-372,
舟右-18,1-333,
舟右-19,1-180,
舟右-20,1-182,
舟右-21,1-368,
舟右-22,3-62,
舟右-23,1-376,
舟右-24,1-375,
舟右-25,3-102,
舟右-26,3-60,
舟右-27,1-176,
舟右-28,1-354、3-283,
舟右-29,1-309,
舟右-30,1-370,
舟右-31,1-367,
舟右-32,1-337,
舟右-33,1-364,
舟右-34,1-373,
舟右-35,1-39,
舟右-36,1-353,
舟右-37,1-201,
舟右-38,1-301,
舟右-39,1-334,
舟右-40,1-221,
舟右-41,1-371,
舟右-42,1-245,
舟右-43,1-351,
舟右-44,1-246,
舟右-45,1-380,
舟右-46,1-310,
舟右-47,1-357,
舟右-48,1-312,
舟右-49,,
舟右-50,1-332、2-268、3-364,已併入「福木」
舟右-51,1-311,
舟右-52,1-315,
舟右-53,1-303,
舟右-54,1-307、4-209,
舟右-55,1-318,
舟右-56,1-344,
舟右-57,,
舟右-58,1-198,
舟右-59,1-304,
舟右-60,1-305,
舟右-61,1-247,
舟右-62,1-306,
舟右-63,1-355,
舟右-64,1-355,已併入「燈豎朽」
舟左-01,1-289、2-303,
舟左-02,1-286、3-386、4-1,
舟左-03,2-218,
舟左-04,1-261,
舟左-05,4-60,
舟左-06,,
舟左-07,1-278,
舟左-08,1-279,
舟左-09,2-214,
舟左-10,1-295,
舟左-11,2-223,
舟左-12,1-294,
舟左-13,1-223,
舟左-14,1-288,
舟左-15,,
舟左-16,2-217,
舟左-17,1-280,
舟左-18,1-252,
舟左-19,1-260,
舟左-20,1-292,
舟左-21,2-213,
舟左-22,1-359,
舟左-23,1-262,
舟左-24,1-266,
舟左-25,1-254,
舟左-26,1-272,
舟左-27,4-103,
舟左-28,2-224,
舟左-29,2-219、3-341,
舟左-30,,
舟左-31,1-256,
舟左-32,2-225,
舟左-33,1-276,
舟左-34,1-269,
舟左-35,1-274,
舟左-36,1-275,
舟左-37,1-259、2-209、4-331,已併入「茄苳」
舟左-38,3-157,
舟左-39,2-222,
舟左-40,2-220,
舟左-41,,
舟左-42,1-82,
舟左-43,1-91,
舟左-44,1-255,
舟左-45,1-271,
舟左-46,1-273,
舟左-47,1-267,
舟左-48,2-212,
舟左-49,,
舟左-50,2-211,
舟左-51,1-283,
